author,count,bookCount,book1,book2,book3,book4,book5,book6
Adam Rapp,1,1,The Buffalo Tree, , , , , 
Adam Selzer,1,1,How to Get Suspended and Influence People, , , , , 
Adolf Hitler,1,1,Mein Kampf, , , , , 
Adrian Fogelin,1,1,My Brother's Hero, , , , , 
Aidan Chambers,1,1,Dance on My Grave, , , , , 
Akira Toriyama,1,1,Dragon Ball: The Monkey King, , , , , 
Akram Aylisli,1,1,Stone Dreams, , , , , 
Alan Moore,2,2,Neonomicon,The League of Extraordinary Gentlemen: Black Dossier, , , , 
Aldous Huxley,3,1,Brave New World, , , , , 
Alex Comfort,3,2,The Joy of Sex,The New Joy of Sex, , , , 
Alex Sanchez,3,1,Rainbow Boys, , , , , 
Alexander Parsons,1,1,Leaving Disneyland, , , , , 
Alice Sebold,2,1,The Lovely Bones, , , , , 
Alice Walker,1,1,The Color Purple, , , , , 
Alison Bechdel,2,1,Fun Home, , , , , 
Alta Schreier,1,1,Vamos a Cuba, , , , , 
Alvin Schwartz,1,1,More Scary Stories to Tell in the Dark, , , , , 
Amy Ignatow,1,1,The Popularity Papers, , , , , 
Amy Sonnie,1,1,Revolutionary Voices, , , , , 
Amy Tan,1,1,The Joy Luck Club, , , , , 
Amy Timberlake,1,1,The Dirty Cowboy, , , , , 
Andrew Langley,1,1,100 Greatest Tyrants, , , , , 
Andy Riley,1,1,The Book of Bunny Suicides, , , , , 
Ann Brashares,1,1,Forever in Blue, , , , , 
Anne Frank,1,1,Anne Frank: The Diary of a Young Girl, , , , , 
Annie Proulx,1,1,Brokeback Mountain, , , , , 
Anonymous,1,1,Go Ask Alice, , , , , 
Anthony Horowitz,1,1,Snakehead, , , , , 
Ariel Schrag,2,1,Stuck in the Middle, , , , , 
Asne Seierstad,2,1,The Bookseller of Kabul, , , , , 
Augusten Burroughs,2,1,Running with Scissors, , , , , 
Avi,1,1,The Fighting Ground, , , , , 
Bapsi Sidhwa,1,1,Cracking India, , , , , 
Barbara Ehrenreich,3,1,Nickel and Dimed: On (Not) Getting by in America, , , , , 
Barbara Kingsolver,2,2,Animal Dreams,The Bean Trees, , , , 
Barbara Park,2,2,Junie B. Jones and Some Sneaky Peeky Spying,Mick Harte Was Here, , , , 
Barbara Wersba,1,1,Whistle Me Home, , , , , 
Ben Mezrich,1,1,Bringing Down the House, , , , , 
Bette Greene,1,1,The Drowning of Stephan Jones, , , , , 
Bobbie Ann Mason,1,1,In Country, , , , , 
Brent Crawford,1,1,Carter Finally Gets It, , , , , 
Brent Hartinger,2,1,The Geography Club, , , , , 
Bret Lott,1,1,The Hunt Club, , , , , 
Brian McDonald,1,1,In the Middle of the Night, , , , , 
Bruce Beiderwell and Jeffrey M. Wheeler,1,1,The Literary Experience, , , , , 
Bruce Coville,1,1,Am I Blue?, , , , , 
C. S. Adler,1,1,The Shell Lady's Daughter, , , , , 
Carl Semencic,1,1,Pit Bulls and Tenacious Guard Dogs, , , , , 
Carlos Fuentes,1,1,Aura, , , , , 
Carol Plum-Ucci,2,1,The Body of Christopher Creed, , , , , 
Carolyn Mackler,4,3,Tangled,The Earth My Butt and Other Big Round Things,Vegan Virgin Valentine, , , 
Catherine Atkins,2,2,Alt Ed,When Jeff Comes Home, , , , 
Cecily Von Ziegesar,2,1,Only in Your Dreams, , , , , 
Charleen Touchette,1,1,It Stops With Me, , , , , 
Charles Silverstein and Felice Picano,6,1,The Joy of Gay Sex, , , , , 
Chris Crutcher,13,5,Chinese Handcuffs,Deadline,In the Time I Get,Staying Fat for Sarah Byrnes,Whale Talk, 
Chuck Palahniuk,1,1,Choke: A Novel, , , , , 
Chuck Palaniuk,1,1,Fight Club, , , , , 
Cormac McCarthy,1,1,Child of God, , , , , 
Craig Thompson,1,1,Blankets, , , , , 
Curtis Sittenfeld,2,1,Prep, , , , , 
Dai Sijie,1,1,Balzac and the Little Chinese Seamstress, , , , , 
Dan Brown,2,1,The Da Vinci Code, , , , , 
Dan Elish,1,1,Born Too Short, , , , , 
Dav Pilkey,1,1,The Adventure of Super Diaper Baby, , , , , 
Dave Pelzer,1,1,A Child Called It, , , , , 
David Guterson,2,1,Snow Falling on Cedars, , , , , 
David Howard Wilson,1,1,Robopocalypse, , , , , 
David Sedaris,1,1,I Like Guys: A Short Story from Naked, , , , , 
Deborah Davis,1,1,My Brother Has AIDS, , , , , 
Deborah Hautzig,1,1,Hey Dollface, , , , , 
Derrick Barnes,1,1,The Making of Dr. Truelove, , , , , 
Dori Hillestad Butler,2,1,My Mom's Having a Baby, , , , , 
Dugald Steer,1,1,Wizardology, , , , , 
E. L. James,1,1,Fifty Shades of Grey, , , , , 
E. Lockhart,1,1,The Boy Book, , , , , 
E. R. Frank,2,2,America,Life is Funny, , , , 
Ed McBain,1,1,Alice in Jeopardy, , , , , 
Edwidge Dandicat,1,1,Krik! Krak!, , , , , 
Elif Shafak,1,1,The Bastard of Istanbull, , , , , 
Elizabeth Cox,1,1,Night Talk, , , , , 
Elizabeth Martinez,1,1,500 Years of Chicano History in Pictures, , , , , 
Elizabeth Scott,1,1,Living Dead Girl, , , , , 
Ellen Wittlinger,1,1,Sandpiper, , , , , 
Emily Dubberley,1,1,Sex for Busy People, , , , , 
Eoin Colfer,1,1,The Supernaturalist, , , , , 
Eric Jerome Dickey,1,1,The Other Woman, , , , , 
Eric Marlowe Garrison,1,1,Mastering Multiple Position Sex, , , , , 
Ernest Hemingway,1,1,Hills Like White Elephants: A Short Story, , , , , 
Ernest J. Gaines,1,1,The Autobiography of Miss Jane Pittman, , , , , 
Esther Drill,4,1,Deal with It! A Whole New Approach to Your Body Brain and Life as a Gurl , , , , , 
Evelyn Waugh,1,1,Brideshead Revisited, , , , , 
Felice Newman,1,1,The Whole Lesbian Sex Book, , , , , 
Francesca Lia Block,1,1,Baby Be-Bop, , , , , 
Fredrick McKissack Jr.,1,1,Shooting Star, , , , , 
Freedom Writers,1,1,The Freedom Writers Diary, , , , , 
Gail Giles,1,1,Shattering Glass, , , , , 
Garret Freymann-Weyr,1,1,My Heartbeat, , , , , 
Gary Paulsen,1,1,Zero to Sixty, , , , , 
George Ancona,1,1,Cuban Kids, , , , , 
Gordon Korman,1,1,Jake Reinvented, , , , , 
Gordon Parks,1,1,The Learning Tree, , , , , 
Graham Swift,1,1,Waterland, , , , , 
Gregory Maguire,1,1,Wicked, , , , , 
Harper Lee,5,1,To Kill a Mockingbird, , , , , 
Haruki Murakami,1,1,Norwegian Wood, , , , , 
Harvey Fierstein,1,1,The Sissy Duckling, , , , , 
Heather M. Gray and Samantha Phillips,1,1,Real Girl/Real World, , , , , 
Herge (Georges Remi),1,1,Tintin in the Congo, , , , , 
Howard Cruse,1,1,Stuck Rubber Baby, , , , , 
Howard Zinn,1,1,A People's History of the United States, , , , , 
Iona Archibald Opie and Peter Opie,1,1,I Saw Esau, , , , , 
Irshad Manji,1,1,Allah Liberty and Love, , , , , 
Ivan Doig,1,1,Dancing at the Rascal Fair, , , , , 
J. D. Salinger,3,1,The Catcher in the Rye, , , , , 
J. K. Rowling,11,5,Harry Potter and the Chamber of Secrets,Harry Potter and the Goblet of Fire,Harry Potter and the Half-Blood Prince,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Sorcerer's Stone, 
Jacqui Bailey and Jan McCafferty,1,1,Sex Puberty and All That Stuff, , , , , 
James C. Christensen: Renwick St. James: and Alan Dean Foster,1,1,Voyage of the Bassett, , , , , 
James Howe,2,1,Totally Joe, , , , , 
