title,author,count,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11
100 Greatest Tyrants,Andrew Langley,1,Australia, , , , , , , , , , 
500 Years of Chicano History in Pictures,Elizabeth Martinez,1,Arizona, , , , , , , , , , 
A Child Called It,Dave Pelzer,1,Washington, , , , , , , , , , 
A Fisherman of the Inland Sea,Ursula K. LeGuin,1,Texas, , , , , , , , , , 
A Girl's Life Online,Katherine Tarbox,1,New York, , , , , , , , , , 
A People's History of the United States,Howard Zinn,1,Virginia, , , , , , , , , , 
A Prayer for Owen Meany,John Irving,1,Massachusetts, , , , , , , , , , 
A Rasin in the Sun,Lorraine Hansberry,1,Illinois, , , , , , , , , , 
A Study in Scarlet,Sir Arthur Conan Doyle,1,Virginia, , , , , , , , , , 
A Thousand Acres,Jane Smiley,1,Texas, , , , , , , , , , 
A Time to Kill,John Grisham,1,North Dakota, , , , , , , , , , 
Abduction!,Peg Kehret,1,Massachusetts, , , , , , , , , , 
Alice in Jeopardy,Ed McBain,1,Washington, , , , , , , , , , 
Alice on Her Way,Phyllis Reynolds Naylor,1,Washington, , , , , , , , , , 
Alice on the Outside,Phyllis Reynolds Naylor,1,Kentucky, , , , , , , , , , 
Alice the Brave,Phyllis Reynolds Naylor,1,Texas, , , , , , , , , , 
Allah Liberty and Love,Irshad Manji,1,Malaysia, , , , , , , , , , 
Alt Ed,Catherine Atkins,1,Oregon, , , , , , , , , , 
Always Running,Luis J. Rodriguez,1,California, , , , , , , , , , 
Am I Blue?,Bruce Coville,1,Iowa, , , , , , , , , , 
America,E. R. Frank,1,Ohio, , , , , , , , , , 
America (The Book),Jon Stewart: Ben Karlin: and David Javerbaum,1,Mississippi, , , , , , , , , , 
Anastasia Again!,Lois Lowry,1,Florida, , , , , , , , , , 
And Tango Makes Three,Justin Richardson and Peter Parnell,14,California,Illinois,Iowa,Maryland,Minnesota,Missouri,North Carolina,Ohio,United Kingdom,Utah,Virginia
Angus Thongs and Full-Frontal Snogging,Louise Rennison,1,Wisconsin, , , , , , , , , , 
Animal Dreams,Barbara Kingsolver,1,Pennsylvania, , , , , , , , , , 
Anne Frank: The Diary of a Young Girl,Anne Frank,1,Virginia, , , , , , , , , , 
Attack of the Mutant Underwear,Tom Birdseye,1,Florida, , , , , , , , , , 
Aura,Carlos Fuentes,1,Puerto Rico, , , , , , , , , , 
Baby Be-Bop,Francesca Lia Block,1,Wisconsin, , , , , , , , , , 
Balzac and the Little Chinese Seamstress,Dai Sijie,1,Washington, , , , , , , , , , 
Baseball Saved Us,Ken Mochizuki,1,Connecticut, , , , , , , , , , 
Beach Music,Pat Conroy,1,West Virginia, , , , , , , , , , 
Beloved,Toni Morrison,5,Idaho,Illinois,Kentucky,Michigan,Virginia, , , , , , 
Betrayed,P. C. Cast and Kristin Cast,1,Alaska, , , , , , , , , , 
Black Boy,Richard Wright,1,Michigan, , , , , , , , , , 
Black Hawk Down,Mark Bowden,1,Louisiana, , , , , , , , , , 
Blankets,Craig Thompson,1,Missouri, , , , , , , , , , 
Bless Me Ultima,Rudolfo A. Anaya,2,California,Colorado, , , , , , , , , 
Bling Bling,Minya Oh,1,Wisconsin, , , , , , , , , , 
Bone,Jeff Smith,1,Minnesota, , , , , , , , , , 
Born Too Short,Dan Elish,1,Maryland, , , , , , , , , , 
Brave New World,Aldous Huxley,3,Idaho,Maryland,Washington, , , , , , , , 
Brideshead Revisited,Evelyn Waugh,1,Alabama, , , , , , , , , , 
Bringing Down the House,Ben Mezrich,1,Oregon, , , , , , , , , , 
Brokeback Mountain,Annie Proulx,1,Texas, , , , , , , , , , 
Buster's Sugartime,Marc Tolon Brown,1,Oklahoma, , , , , , , , , , 
Camp Confidential 5: TTYL,Melissa J. Morgan,1,New York, , , , , , , , , , 
Carter Finally Gets It,Brent Crawford,1,Oklahoma, , , , , , , , , , 
Cassell Dictionary of Slang,Jonathon Green,1,North Carolina, , , , , , , , , , 
Child of God,Cormac McCarthy,1,Texas, , , , , , , , , , 
Child of the Dark Prophecy,T. A. Baron,1,New York, , , , , , , , , , 
Chinese Handcuffs,Chris Crutcher,1,Indiana, , , , , , , , , , 
Choke: A Novel,Chuck Palahniuk,1,Arkansas, , , , , , , , , , 
Cracking India,Bapsi Sidhwa,1,Florida, , , , , , , , , , 
Cradle and All,James Patterson,1,New York, , , , , , , , , , 
Cuba,Sharon Gordon,2,Florida, , , , , , , , , , 
Cuban Kids,George Ancona,1,Florida, , , , , , , , , , 
Dance on My Grave,Aidan Chambers,1,Texas, , , , , , , , , , 
Dancing at the Rascal Fair,Ivan Doig,1,Idaho, , , , , , , , , , 
Daughters of Eve,Lois Duncan,1,Indiana, , , , , , , , , , 
Dead Folks,Jon A. Jackson,1,Montana, , , , , , , , , , 
Deadline,Chris Crutcher,1,Kentucky, , , , , , , , , , 
Deal with It!,Esther Drill,4,Arizona,Arkansas,Texas,Wisconsin, , , , , , , 
Deenie,Judy Blume,1,Florida, , , , , , , , , , 
Detour for Emmy,Marilyn Reynolds,1,Texas, , , , , , , , , , 
Different Seasons,Stephen King,1,California, , , , , , , , , , 
Doing It,Melvin Burgess,1,Arkansas, , , , , , , , , , 
Don't You Dare Read This Mrs. Dunphrey,Margaret Peterson Haddix,1,California, , , , , , , , , , 
Dragon Ball: The Monkey King,Akira Toriyama,1,Maryland, , , , , , , , , , 
Eat Me,Linda Jaivin,1,Florida, , , , , , , , , , 
Eight Seconds,Jean Ferris,1,Texas, , , , , , , , , , 
Ender's Game,Orson Scott Card,1,South Carolina, , , , , , , , , , 
Extremely Loud and Incredibly Close,Jonathan Safran Foer,1,Washington, , , , , , , , , , 
Fahrenheit 451,Ray Bradbury,1,Texas, , , , , , , , , , 
Fair and Tender Ladies,Lee Smith,1,Virginia, , , , , , , , , , 
Fallen Angels,Walter Dean Myers,5,Idaho,Illinois,Kansas,North Carolina,Ohio, , , , , , 
Fat Kid Rules the World,K. L. Going,2,Illinois,South Carolina, , , , , , , , , 
Feed,M. T. Anderson,1,Virginia, , , , , , , , , , 
Fifty Shades of Grey,E. L. James,1,Florida, , , , , , , , , , 
Fight Club,Chuck Palaniuk,1,Texas, , , , , , , , , , 
Finding Laura Buggs,Stanley Gordon West,1,North Dakota, , , , , , , , , , 
Fools Crow,James Welch,1,Montana, , , , , , , , , , 
Forever,Judy Blume,1,Arkansas, , , , , , , , , , 
Forever in Blue,Ann Brashares,1,Wisconsin, , , , , , , , , , 
Freakonomics,Steven D. Levitt and Stephen J. Dubner,1,Illinois, , , , , , , , , , 
Fun Home: A Family Tragicomic,Alison Bechdel,2,Missouri, , , , , , , , , , 
Get Well Soon,Julie Halpern,1,Wisconsin, , , , , , , , , , 
Gilgamesh: A New English Version,Stephen Mitchell,1,New Jersey, , , , , , , , , , 
Girl Interrupted,Susanna Kaysen,2,Maine,New York, , , , , , , , , 
Girl with a Pearl Earring,Tracy Chevalier,1,Iran, , , , , , , , , , 
Give a Boy a Gun,Todd Strasser,1,Pennsylvania, , , , , , , , , , 
GLBTQ,Kelly Huegel,1,Arkansas, , , , , , , , , , 
Go Ask Alice,Anonymous,1,South Carolina, , , , , , , , , , 
Good Moon Rising,Nancy Garden,1,Texas, , , , , , , , , , 
Great Soul,Joseph Lelveld,1,India, , , , , , , , , , 
Grendel,John C. Gardner,1,Oregon, , , , , , , , , , 
Hang-ups Hook-ups and Holding Out,Melisa Holmes and Trish Hutchison,1,New York, , , , , , , , , , 
Happy Endings,Jim Norton,1,Mississippi, , , , , , , , , , 
Harry Potter and the Chamber of Secrets,J. K. Rowling,2,Georgia,Massachusetts, , , , , , , , , 
Harry Potter and the Goblet of Fire,J. K. Rowling,2,Georgia,Massachusetts, , , , , , , , , 
Harry Potter and the Half-Blood Prince,J. K. Rowling,3,California,Georgia,Massachusetts, , , , , , , , 
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2,Georgia,Massachusetts, , , , , , , , , 
Harry Potter and the Sorcerer's Stone,J. K. Rowling,2,Georgia,Massachusetts, , , , , , , , , 
Hero-Heel 2,Makoto Tateno,1,Washington, , , , , , , , , , 
Hey Dollface,Deborah Hautzig,1,Texas, , , , , , , , , , 
Hills Like White Elephants: A Short Story,Ernest Hemingway,1,New Hampshire, , , , , , , , , , 
Hold Still,Nina LaCour,1,Missouri, , , , , , , , , , 
Holly's Secret,Nancy Garden,1,Texas, , , , , , , , , , 
Hoops,Walter Dean Myers,1,Iowa, , , , , , , , , , 
Horse,Juliet Clutton-Brock,1,Montana, , , , , , , , , , 
House of Night Series,P. C. Cast and Kristin Cast,1,Texas, , , , , , , , , , 
How the Garcia Girls Lost Their Accents,Julia Alvarez,2,Illinois,North Carolina, , , , , , , , , 
How to Get Suspended and Influence People,Adam Selzer,1,Idaho, , , , , , , , , , 
How to Make Love Like a Porn Star,Jenna Jameson and Neil Strauss,1,Texas, , , , , , , , , , 
I Am the Cheese,Robert Cormier,1,Nevada, , , , , , , , , , 
I Know Why the Caged Bird Sings,Maya Angelou,5,California,Idaho,Maryland,Pennsylvania,Wisconsin, , , , , , 
I Like Guys: A Short Story from Naked,David Sedaris,1,New Hampshire, , , , , , , , , , 
I Saw Esau,Iona Archibald Opie and Peter Opie,1,Tennessee, , , , , , , , , , 
In Cold Blood,Truman Capote,1,California, , , , , , , , , , 
In Country,Bobbie Ann Mason,1,Indiana, , , , , , , , , , 
In Our Mothers' House,Patricia Polacco,1,Utah, , , , , , , , , , 
In the Middle of the Night,Brian McDonald,1,Connecticut, , , , , , , , , , 
In the Night Kitchen,Maurice Sendak,1,North Carolina, , , , , , , , , , 
In the Time I Get,Chris Crutcher,1,Iowa, , , , , , , , , , 
Intensely Alice,Phyllis Reynolds Naylor,1,Missouri, , , , , , , , , , 
It Stops With Me,Charleen Touchette,1,Rhode Island, , , , , , , , , , 
It's Perfectly Normal,Robie H. Harris,4,Arkansas,Florida,Maine, , , , , , , , 
It's So Amazing! A Book about Eggs Sperm Birth Babies and Families,Robie H. Harris,2,Arkansas,Wisconsin, , , , , , , , , 
Jake Reinvented,Gordon Korman,1,Arizona, , , , , , , , , , 
Jubilee,Margaret Walker,1,Illinois, , , , , , , , , , 
Junie B. Jones and Some Sneaky Peeky Spying,Barbara Park,1,North Carolina, , , , , , , , , , 
